Scene,MAE,RMSE,Bad-1.0 (%),Baseline r,Improved r,Δr,N
Art,26.424,54.737,42.653,0.158,0.330,0.171,1535401.000
Books,23.297,45.776,54.957,0.116,0.360,0.244,1528388.000
Cones,102.713,109.697,100.000,0.086,0.111,0.025,163321.000
Dolls,16.674,43.314,36.036,0.153,0.314,0.161,1527119.000
Laundry,31.043,57.306,58.385,0.120,0.298,0.178,1481209.000
Moebius,17.688,39.903,34.943,0.183,0.393,0.210,1527074.000
Reindeer,18.291,42.211,36.428,0.160,0.301,0.142,1477453.000
Teddy,84.027,89.690,99.994,0.181,0.136,-0.044,165344.000
MEAN,40.020,60.329,57.925,0.145,0.281,0.136,1175663.625
STD,33.654,25.597,27.391,0.034,0.102,0.097,624597.440
